coaster_name,Length,Speed,Location,Status,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,year_introduced,latitude,longitude,Type_Main,Opening Date
Psyclone (roller coaster),"2,970 ft (910 m)",50 mph (80 km/h),Six Flags Magic Mountain,Removed,Wood,Dinn Corporation,,95 ft (29 m),0.0,Chain lift hill,$5 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:50,1200 riders per hour,3,Curtis D. Summers,53°,77 ft (23 m),,,Shockwave,Twister,,,2006,,Apocalypse: The Ride,,,,,,,,,,1991,34.421,-118.6003,Wood,1991-03-23
Sidewinder (Hersheypark),935 ft (285 m),47 mph (76 km/h),Hersheypark,Operating,Steel – Shuttle – Boomerang,Vekoma,Boomerang,116.5 ft (35.5 m),6.0,Cable and Chain lift hill on both towers,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:48,760 riders per hour,5.2,,,,,,,,,,,,,,,,,,,,,,1991,40.2899,-76.6538,Steel,1991-05-11
Steel Phantom,"3,200 ft (980 m)",85 mph (137 km/h),Kennywood,Operating,Steel,D. H. Morgan Manufacturing,Hyper Coaster,160 ft (49 m),0.0,Chain lift hill,$4.6 million,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Lost Kennywood,1:57,1400 riders per hour,3.5,,52°,228 ft (69 m),,,Laser Loop,Terrain Mega Coaster,,,,,,,,,,,,,,,1991,40.389,-79.866,Steel,1991-05-10
Toboggan (Lakemont Park),450 ft (140 m),,Lakemont Park,Removed,Steel,Chance Rides,Toboggan,45 ft (14 m),,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,1991,40.4712,-78.3961,Steel,1991-01-01
Turbo Mountain,"420 m (1,380 ft)",57 km/h (35 mph),Adventure World,Removed,Steel – Family,Anton Schwarzkopf,Custom Jet Star 2,12 m (39 ft),0.0,Chain lift hill,,a single car. Riders are arranged 2 across in 3 rows for a total of 6 riders per train.,,,480 riders per hour,,Ing.-Büro Stengel GmbH,,,,,,,,,2009,,Freefall,,,,,,,,,,1991,-32.0948,115.8164,Steel,1991-01-01
The Ultimate (roller coaster),"7,442 ft (2,268 m)",50 mph (80 km/h),Lightwater Valley,Closed,Steel,British Rail Engineering Limited,,107 ft (33 m),0.0,Two chain lift hills,"£5,200,000",2 trains with 10 cars. Riders are arranged 2 across in 2 rows for a total of 40 riders per train.,,7:34,400 riders per hour,,Big Country MotioneeringRobert Staveley,,,,,,Terrain,,,,,,,,,,,,,,,1991,54.1739,-1.5687,Steel,1991-07-17
Vortex (Canada's Wonderland),"719.5 m (2,361 ft)",55 mph (89 km/h),Canada's Wonderland,Operating,Steel – Suspended,Arrow Dynamics,Suspended Coaster,27.8 m (91 ft),,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Frontier Canada,1:36,,,,,26 m (85 ft),,Fast Lane available,,Terrain,,,,,,,,,,,,,,,1991,43.8419,-79.5435,Steel,1991-05-12
Vortex (Great America),"1,920 ft (590 m)",45 mph (72 km/h),California's Great America,Operating,Steel – Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,91 ft (28 m),2.0,Chain lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Hometown Square,2:14,1200 riders per hour,,Werner Stengel,,,,Fast Lane available,,,,,,,,,,,,,,,,,1991,37.3967,-121.9732,Steel,1991-03-09
Wildcat (Frontier City),"2,653 ft (809 m)",46 mph (74 km/h),Other,,Wood,National Amusement Devices,Wooden roller coaster,75 ft (23 m),,Chain lift hill,$2 million,2 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:10,,,Aurel VaszinEdward Leis,,65 ft (20 m),,,,Out and back,,,1977,,,,,,,,,,,,1991,,,Wood,
Batman: The Ride,"2,693 or 2,700 ft (821 or 823 m)",50 mph (80 km/h),Other,,Steel – Inverted,Bolliger & Mabillard,Inverted Coaster – Batman,100 or 105 ft (30 or 32 m),5.0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280–1400[1][2] riders per hour,4,Werner Stengel,,84.5 ft[3],,,,,,,,,,,,,,Single rider line available,Over-the-shoulder,Flash Pass available,,,1992,,,Steel,
Big Thunder Mountain Railroad,,35 mph (56 km/h),Other,,Steel – Mine Train,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",Mine Train,104 ft (32 m),0.0,Chain lift hill,,,,~3:00,,,Walt Disney Imagineering,,,,,Mine Train Through Nature's Wonderland,Custom,,,,,,,,Must transfer from wheelchair,,Single rider line available,,,,Single Lap Bar,1992,,,Steel,
Blue Hawk (roller coaster),"2,742 ft (836 m)",52 mph (84 km/h),Other,,Steel,Vekoma,MK-1200 (Custom),122 ft (37 m),5.0,Chain lift hill,,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:20,1300 riders per hour,4.0,,48°,109 ft (33 m),,,,Twister,,,1991,,,,Flash Pass Available,,,,,,,,1992,,,Steel,
Cosmic Coaster (Valleyfair),215 ft (66 m),15 mph (24 km/h),Other,,Steel – Junior – Powered,Zamperla,Powered Coaster,14 ft (4.3 m),0.0,,,Single train with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Planet Snoopy,2:30,,,,,,,,,,,,2010,,,,,,,,,,,,1992,,,Steel,
Desert Storm (roller coaster),,,Castles N' Coasters,Operating,Steel,Hopkins Rides,,,2.0,Chain lift hill,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,,,,,,,,,,,,,,,,,,,,,,,,1992,33.5718,-112.1188,Steel,1992-01-01
Drachen Fire,"3,550 ft (1,080 m)",60 mph (97 km/h),Busch Gardens Williamsburg,Removed,Steel,Arrow Dynamics,Custom Looping,150 ft (46 m),5.0,Chain lift hill,"$4,000,000",3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Festhaus Park,,,,Ron Toomer,,145 ft (44 m),"April 3, 1992",,,Custom,,"April 3, 1992",July 1998,,,,,,,,,,,,1992,37.2306,-76.6444,Steel,1992-04-04
Dragon Coaster (Dorney Park),215 ft (66 m),15 mph (24 km/h),Other,,Steel – Junior – Powered,Zamperla,Powered Coaster,14 ft (4.3 m),0.0,,,Single train with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Planet Snoopy,2:30,,,,,,,,,,,,2010,,,,,,,,,,,,1992,,,Steel,
Eagle Fortress,"3,200 ft (980 m)",40 mph (64 km/h),Everland,Removed,Steel – Suspended,Arrow Dynamics,Suspended looping coaster,,,,,,,1:58,,,,,,,,,,,,January 2009,,,,,,,,,,,,1992,,,Steel,1992-09-08
Flashback (Six Flags Magic Mountain),"1,900 ft (580 m)",35 mph (56 km/h),Other,,Steel,Intamin,Space Diver,86 ft (26 m),0.0,Chain lift hill,"$4,000,000[2]",3 trains with 5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,Six Flags Plaza,1:30,"1,100 riders per hour",3,Werner Stengel,89°,34 ft (10 m),,,,,,,,,,,,,,,,,,,1992,,,Steel,
The Great Pumpkin Coaster,,,"Mason, Ohio, United States",Operating,Other,,,,,,,,,,,,,,,,,,,,,,"April 29, 1972",,Official website,,,,,,,,,1992,39.3448,-84.2686,Other,
Jupiter (roller coaster),"1,600 m (5,200 ft)",91 km/h (57 mph),Kijima Kogen,Operating,Wood,Intamin,,42 m (138 ft),0.0,,2.5 billion yen,,,2:34,,,Curtis D. Summers,45°,,,,,,,,,,,,,,,,,,,,1992,33.2617,131.4281,Wood,1992-01-01
Kingdom Coaster,"2,200 ft (670 m)",40 mph (64 km/h),Dutch Wonderland,Operating,Wood – Family,Custom Coasters International,,55 ft (17 m),,,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,,1992,40.0295,-76.2173,Wood,1992-05-16
Pepsi Orange Streak,"2,680 ft (820 m)",40 mph (64 km/h),Nickelodeon Universe,Operating,Steel – Indoor,Zierer,,60 ft (18 m),0.0,Friction Wheels,,2 trains with 15 cars. Riders are arranged 2 across in a single row for a total of 30 riders per train.,,2:30,1000 riders per hour,,Werner Stengel,,40 ft (12 m),,,,,,,,,,,,,,,,,,,1992,,,Steel,1992-08-11
Pipeline Express,"1,200 ft (370 m)",15 mph (24 km/h),Boardwalk Fun Park,Removed,Steel,"Bailey Rides, Inc.",Auto Sled,45 ft (14 m),0.0,Cart return (no lift),"$450,000 US",,,1:00,,,Ken Bailey,,,,,,,,,"September 7, 1992",,,,,,,,,,,,1992,32.761,-96.997,Steel,1992-07-23
The Rattler (roller coaster),"3,266 ft (995 m)",70 mph (110 km/h),Six Flags Fiesta Texas,Operating,Steel,Rocky Mountain Construction,I-Box,179 ft (55 m),1.0,Chain lift hill,US$10 million[1],2 Gerstlauer trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Crackaxle Canyon,,850 riders per hour,,Alan Schilke,81°,171 ft (52 m),,,,Terrain,,,,,,,,,,,,,,,1992,,,Steel,2013-05-25
Runaway Mine Train (Alton Towers),"1,000 ft (300 m)",22.4 mph (36.0 km/h),Alton Towers,Operating,Steel – Powered – Mine Train,Mack Rides,Powered Coaster,36 ft (11 m),0.0,Onboard motors,"£1,000,000",,Katanga Canyon,1:50,1062 riders per hour,2.4,,29°,36 ft (11 m),,,,steel,,,,,,,,,,,,,,,1992,52.9897,-1.8856,Steel,1992-03-21
Sierra Tonante,"3,280.8 ft (1,000.0 m)",62.1 mph (99.9 km/h),Mirabilandia,Removed,Wood,S.D.C.,,114.8 ft (35.0 m),0.0,Chain lift hill,,,,1:30 min,1200 riders per hour,4,William CobbWerner Stengel,,,,,,,,,2007,,iSpeed,,,,,,,,,,1992,44.3361,12.2619,Wood,1992-01-01
Streamliner Coaster,278.8 ft (85.0 m),,Six Flags Fiesta Texas,Operating,Steel – Junior,Vekoma,Junior Coaster (85m),,0.0,,,Single train with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,Kidzopolis,,670 riders per hour,,,,,,,,Oval,,,,,,,,,,,,,,,1992,29.5965,-98.6099,Steel,1992-03-14
Vortex (Carowinds),"2,040 ft (620 m)",50 mph (80 km/h),Carowinds,Operating,Steel – Stand-up,Bolliger & Mabillard,Stand-Up,90 ft (27 m),2.0,Chain lift hill,$5.5 million[1],,Carousel Park,2:19,,,Werner Stengel,,,,Fast Lane available,,,,,,,,,,,,,,,,,1992,35.1036,-80.9416,Steel,1992-03-14
Batman The Escape,"2,300 ft (700 m)",55 mph (89 km/h),Other,,Steel – Stand-up,Intamin,,90 ft (27 m),1.0,,,2 trains with 5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,,2:18,,3.4,,,85 ft (26 m),,,Sarajevo Bobsleds,,,,,,,,,,,,,,,,1993,,,Steel,
Batman: The Ride,"2,693 or 2,700 ft (821 or 823 m)",50 mph (80 km/h),Other,,Steel – Inverted,Bolliger & Mabillard,Inverted Coaster – Batman,100 or 105 ft (30 or 32 m),5.0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280–1400[1][2] riders per hour,4,Werner Stengel,,84.5 ft[3],,,,,,,,,,,,,,Single rider line available,Over-the-shoulder,Flash Pass available,,,1993,,,Steel,
Bocaraca,"1,148.3 ft (350.0 m)",37.3 mph (60.0 km/h),Other,,Steel,Vekoma,Whirlwind,64 ft (20 m),2.0,Chain lift hill,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,,,,,,,,Jet Star,,,,,,,,,,,,,,,,1993,,,Steel,
Canyon Blaster (Adventuredome),"2,423 ft (739 m)",41 mph (66 km/h),Adventuredome,Operating,Steel – Indoor,Arrow Dynamics,,94 ft (29 m),4.0,Chain,,,2nd Level,1:30,,3.5,,53°,66 ft (20 m),,,,,,,,,,,,,,,,,,,1993,36.1381,-115.1664,Steel,1993-08-23
Cosmic Coaster (Worlds of Fun),444 ft (135 m),,Worlds of Fun,Operating,Steel – Junior,Preston & Barbieri,Wacky Worm,,0.0,,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Planet Snoopy,0:55,,,,,,,,,,,,,,,,,,,,,,,,1993,39.1723,-94.4889,Steel,1993-04-03
Flight Deck (California's Great America),"2,260 ft (690 m)",50 mph (80 km/h),California's Great America,Operating,Steel – Inverted,Bolliger & Mabillard,Custom,102 ft (31 m),3.0,,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Orleans Place,2:26,1330 riders per hour,4.5,Werner Stengel,,91 ft (28 m),,Fast Lane available,,,,,,,,,,,,,,,,,1993,37.3981,-121.9718,Steel,1993-03-20
Gadget's Go Coaster,679.2 ft (207.0 m),21.7 mph (34.9 km/h),Other,,Steel – Junior,Vekoma,Junior Coaster (207m),27.9 ft (8.5 m),,,,2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,,0:44,780 riders per hour,,Walt Disney Imagineering,,,,,,,,,,,,,,,,,,,,,1993,,,Steel,
Hundeprutterutchebane,128 m (420 ft),30 km/h (19 mph),BonBon-Land,Operating,Steel – Family,Zierer,Force - One,4.5 m (15 ft),0.0,,,,,,650 riders per hour,,,,,,,,,,,,,,,,,,,,,,,1993,55.2599,11.8639,Steel,1993-01-01
Indiana Jones et le Temple du Péril,"600 m (2,000 ft)",36 mph (58 km/h),Disneyland Park (Paris),Operating,Steel,Intamin,Looping Coaster,59 ft (18 m),1.0,Chain lift hill,,7 trains with 2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,Adventureland,1:15,,,Walt Disney Imagineering,,,,,,Pinfari TL-59,,,,,,Official website,,Must transfer from wheelchair,Indiana JonesRunaway Mine Train,,,,,,1993,,,Steel,1993-07-30
Kumba (roller coaster),"3,978 ft (1,212 m)",60 mph (97 km/h),Busch Gardens Tampa Bay,Operating,Steel,Bolliger & Mabillard,Sitting Coaster,143 ft (44 m),7.0,Chain lift hill,,4(3 max. in use) trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Congo,2:54,"1,700 riders per hour",3.8,Werner Stengel,,135 ft (41 m),,,,,,,,,,,,,,,,,,,1993,28.0397,-82.4231,Steel,1993-04-20
Lightnin' Loops,635 ft (194 m),45 mph (72 km/h),Other,,Steel – Launched – Shuttle,Arrow Development,,56 ft (17 m),1.0,,,,,1:06,,4,,,47 ft (14 m),,,,Interlocking Shuttle Loop,,,,,,,,,,,,,,,1993,40.1358,-74.4437,Steel,
Lightning Bolt (roller coaster),"2,400 ft (730 m)",35 mph (56 km/h),MGM Grand Adventures Theme Park,Removed,– Steel,Intamin,Family roller coaster,69.0 ft (21.0 m),0.0,2 lift hills,,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,,,,Ing.-Büro Stengel GmbH,,60 ft (18 m),,,,,,,"September 4, 2000",,,,,,,,,,,,1993,,,Other,1993-01-01
Outlaw (roller coaster),"2,800 ft (850 m)",48 mph (77 km/h),Adventureland (Iowa),Operating,Wood,Custom Coasters International,,67 ft (20 m),0.0,Chain-lift,"US$2,000,000[1]",,Outlaw Gulch,2 minutes,,3.2[2],,,,,,,,,,,,,,,,,,,,,,1993,41.6491,-93.5006,Wood,1993-04-24
Superman: Krypton Coaster (Six Flags Mexico),,,Other,In Production,Steel junior roller coaster,Vekoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,,,Steel,
Thunderation,"3,022 ft (921 m)",48 mph (77 km/h),Silver Dollar City,Operating,Steel – Mine Train,Arrow Dynamics,Mine train,81 ft (25 m),0.0,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,,2:10,,,,,,,,,Terrain,,,,,,,,,,,,,,,1993,36.6684,-93.3379,Steel,1993-04-10
Top Gun (Kings Island),"2,352 ft (717 m)",51 mph (82 km/h),Kings Island,Operating,Steel – Suspended,Arrow Dynamics,Suspended Coaster,78 ft (24 m),0.0,Chain lift hill,,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Action Zone,1:52,"1,200 riders per hour",2.9,,45°,70 ft (21 m),,,,Terrain,,,,,,,,,,,,,,,1993,39.3476,-84.2652,Steel,1993-04-09
Wild Mouse (Idlewild),"1,640 ft (500 m)",30 mph (48 km/h),Idlewild and Soak Zone,Operating,Steel,Vekoma,,56 ft (17 m),0.0,Chain lift,,,,,,,,,,,,,Wild mouse,,,,,,,,,,,,,,,1993,40.2598,-79.2799,Steel,1985-01-01
Batman: The Ride,"2,693 or 2,700 ft (821 or 823 m)",50 mph (80 km/h),Other,,Steel – Inverted,Bolliger & Mabillard,Inverted Coaster – Batman,100 or 105 ft (30 or 32 m),5.0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280–1400[1][2] riders per hour,4,Werner Stengel,,84.5 ft[3],,,,,,,,,,,,,,Single rider line available,Over-the-shoulder,Flash Pass available,,,1994,,,Steel,
The Comet (Great Escape),"4,197 ft (1,279 m)",55 mph (89 km/h),Great Escape,Operating,Wood,Philadelphia Toboggan Coasters,Wooden track coaster,95 ft (29 m),,Chain lift hill,,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Fest Area,2:00,720 riders per hour,,Herbert Paul Schmeck,,87 ft (27 m),,,,Double Out and Back,,,,,,,,,,,,,,,1994,43.3514,-73.6851,Wood,1948-01-01
Condor (roller coaster),"662 m (2,172 ft)",80 km/h (50 mph),Walibi Holland,Operating,Steel – Inverted,Vekoma,Suspended Looping Coaster,31 m (102 ft),5.0,Chain Lift Hill,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Exotic,2:02,900 riders per hour,4.5 G (Positive),,,,,,,,,,,,,,,,,,,,,,1994,52.4404,5.7615,Steel,1994-05-01
Corkscrew (Playland),"2,400 ft (730 m)",40 mph (64 km/h),Playland,Removed,Steel,Vekoma,Corkscrew with Bayerncurve,75 ft (23 m),2.0,,,,,1:29,,,,,68 ft (21 m),,,,,,,2018,,,,,,,,,,,,1994,49.2839,-123.0357,Steel,1994-01-01
Desperado (roller coaster),"5,843 ft (1,781 m)",80 mph (130 km/h),Primm Valley Resorts,Closed,Steel,Arrow Dynamics,Hypercoaster,209 ft (64 m),0.0,Chain,"$30,000,000",3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Old Western Times,2:43,900 riders per hour,4,Ron Toomer,60°,225 ft (69 m),,,,Ron Toomer,,,,,,,,,,,,,,,1994,35.6142,-115.3844,Steel,1994-08-11
Diavlo,"2,606 ft (794 m)",48.5 mph (78.1 km/h),Himeji Central Park,Operating,Steel – Inverted,Bolliger & Mabillard,Inverted Coaster (Batman),108.25 ft (32.99 m),5.0,,,,,1:48,,,,,,,,,,,,,,,,,,,,,,,,1994,34.8755,134.7637,Steel,1994-07-01
Hakugei (roller coaster),"1,530 m (5,020 ft)",107 km/h (66 mph),Nagashima Spa Land,Operating,Steel,Rocky Mountain Construction,I-Box Track,55 m (180 ft),3.0,Chain lift hill,"¥2,800,000,000",3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,,4,,80°,,,,,,,,,,,Official website,,,,,,,,,1994,35.0303,136.7347,Steel,2019-03-28
Hoosier Hurricane,"2,891 ft (881 m)",51 mph (82 km/h),Indiana Beach,Operating,Wood,Custom Coasters International,,77 ft (23 m),0.0,Chain,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,,,Dennis McNulty Larry Bill,,98 ft (30 m),,,,Wood,,,,,,,,,,,,,,,1994,40.7903,-86.7706,Wood,1994-05-27
Hurler (roller coaster),"3,157 ft (962 m)",50 mph (80 km/h),Other,,Wood,"International Coasters, Inc.",,83 ft (25 m),0.0,Chain lift hill,,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,2:00,1100 riders per hour,4.1,,,,,Fast Lane available,,Triple out and back,,,"November 1, 2015",,Twisted Timbers,,,,,,,,,,1994,,,Wood,
Nemesis (roller coaster),"716 m (2,349 ft)",81 km/h (50 mph),Alton Towers,Operating,Steel – Inverted,Bolliger & Mabillard,Inverted Coaster – Custom,13 m (42.7 ft),4.0,Chain lift hill,£10 million,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Forbidden Valley,1:20,1200 riders per hour,3.5[2],Werner Stengel,,31.7 m (104 ft),16 March 1994[1],,,Terrain,Fastrack available,16 March 1994[1],,,,Official website,,,,,,,,,1994,52.9869,-1.8828,Steel,1994-03-19
Raptor (Cedar Point),"3,790 ft (1,160 m)",57 mph (92 km/h),Cedar Point,Operating,Steel – Inverted,Bolliger & Mabillard,Inverted Coaster - Raptor,137 ft (42 m),6.0,Chain lift hill,"$11,500,000 - $12,000,000",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Main Midway,2:16,"1,600 riders per hour",,Werner Stengel,45°,119 ft (36 m),"May 6, 1994",Fast Lane available,Mill Race,,,"May 6, 1994",,,,,,,,,,,,,1994,41.479,-82.6818,Steel,1994-05-07
Roller Skater (roller coaster),679.2 ft (207.0 m),21.7 mph (34.9 km/h),Kentucky Kingdom,Operating,Steel,Vekoma,Junior Coaster (207m),27.9 ft (8.5 m),0.0,,$1.2 Million,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,0:50,780 riders per hour,,,,,,,,,,,,,,,,,,,,,,,1994,38.1967,-85.7476,Steel,1994-04-15
Shockwave (Drayton Manor),"1,640 ft (500 m)",53 mph (85 km/h),Drayton Manor Theme Park,Operating,Steel,Intamin,Stand-up roller coaster,119.7 ft (36.5 m),4.0,Chain lift hill,£4 million,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Action Park,2:00,,4,Werner Stengel Mark Golding,,105 ft (32 m),,,,Out and back,,,,,,,,,,,,,,,1994,52.6125,-1.7161,Steel,1994-03-26
The Big One (roller coaster),"5,497 ft (1,675 m)",74 mph (119 km/h),Blackpool Pleasure Beach,Operating,Steel,Arrow Dynamics,Hyper Coaster,213 ft (65 m),0.0,Chain lift hill,£12 million,3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,3:00,"1,700 riders per hour",3.5,Ron Toomer,65°,205 ft (62 m),,,,,,,,,,,,,,,,,,,1994,53.7892,-3.0553,Steel,1994-05-28
Titan (Space World),"5,019 ft (1,530 m)",71.5 mph (115.1 km/h),Space World,Removed,Steel,Arrow Dynamics,Hypercoaster,166 ft (51 m),0.0,chain lift hill,,,,2:25,1500 riders per hour,3.7,Werner Stengel,60°,178 ft (54 m),,,,,,,31 December 2017,,,,,,,,,,,,1994,33.8748,130.8134,Steel,1994-03-05
White Canyon (roller coaster),"3,608.9 ft (1,100.0 m)",52.4 mph (84.3 km/h),Yomiuriland,Removed,Wood,TOGO,,116 ft (35 m),0.0,,,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,2:12,"1,008 riders per hour",3.5,John Pierce AssociatesRoller Coaster Corporation of AmericaD. H. Morgan Manufacturing,53°,95 ft (29 m),,,,Cyclone,,,"January 14, 2013",,,,,,,,,,,,1994,35.6258,139.5214,Wood,1994-04-09
Zach's Zoomer,,,Michigan's Adventure,Operating,Wood,Custom Coasters International,,,0.0,Chain Lift Hill,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,1:20,450 riders per hour,,,40°,,,Fast Lane available,,,,,,,,,,,,,,,,,1994,43.3434,-86.2809,Wood,1994-07-22
Arkham Asylum – Shock Therapy,"765 m (2,510 ft)",88 km/h (55 mph),Warner Bros. Movie World,SBNO December 2019,Steel – Inverted,Vekoma,Suspended Looping Coaster (765m Extended w/ Helix),33.3 m (109 ft),5.0,Chain lift hill,"A$16,000,000",2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,1:42,1010 riders per hour,4,Vekoma,,,,,,,,,December 2019,,,,,,,,,,,,1995,-27.9083,153.3119,Steel,1995-12-26
Back at the Barnyard Hayride,,,Nickelodeon Universe,Operating,Steel – Powered – Indoor,Zamperla,Dragon,,,Powered,,,,1:30,200 riders per hour,,,,,,,,Loop,,,,,,,,,,,,,,,1995,44.8542,-93.2422,Steel,1995-01-01
Batman: The Ride,"2,693 or 2,700 ft (821 or 823 m)",50 mph (80 km/h),Other,,Steel – Inverted,Bolliger & Mabillard,Inverted Coaster – Batman,100 or 105 ft (30 or 32 m),5.0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280–1400[1][2] riders per hour,4,Werner Stengel,,84.5 ft[3],,,,,,,,,,,,,,Single rider line available,Over-the-shoulder,Flash Pass available,,,1995,,,Steel,
The Gold Coaster,"900 m (3,000 ft)",85 km/h (53 mph),Other,,Steel,Arrow Dynamics,,40 m (130 ft),2.0,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Ocean Parade,,400 riders per hour,3,,,,,,,,,,27 January 2001,,,Official website,,,Circa 1970s Gold Coast,,,,,,1995,,,Steel,
Cactus Coaster,,,Other,,Steel,Allan Herschell Company,Little Dipper,12 ft (3.7 m),0.0,,,,,,100 riders per hour,,,,,,,Wild Kitty (1991-2012),Oval,,,,,,,,,,,,,,,1995,,,Steel,
Cannonball Express (roller coaster),"1,738 ft (530 m)",34 mph (55 km/h),Pleasurewood Hills,Operating,Steel,Anton Schwarzkopf,Jumbo V,53 ft (16 m),0.0,Tire lift hill,,,,2:00,300 riders per hour,,Werner Stengel,,,,,,,,,,,,,,,,,,,,,1995,52.5062,1.7451,Steel,1995-01-01
Cannonball Run (roller coaster),"1,700 ft (520 m)",43 mph (69 km/h),Waterville USA,Removed,Wood,Custom Coasters International,,65 ft (20 m),,Chain lift hill,,,,,,,,,,,,,Out & Back,,,2018[1],,,,,,,,,,,,1995,30.2585,-87.6859,Wood,1995-01-01
Cobra (La Ronde),"2,575 ft (785 m)",48 mph (77 km/h),Other,,Steel – Stand-up,Intamin,Stand-up roller coaster,87 ft (27 m),1.0,Chain lift hill,,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,,,,,,,87 ft (27 m),,,,,,,,,,,Flash Pass Available,,,,,,,,1995,,,Steel,
Comet Express,,,Other,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,,,Other,
Cyclops (roller coaster),"1,900 ft (580 m)",58 mph (93 km/h),Mt. Olympus Water & Theme Park,Operating,Wood,Custom Coasters International,,70 ft (21 m),,Chain,"$7,000,000",,,1:00,,4.2,"Dennis McNulty, Larry Bill",52°,75 ft (23 m),,,,Terrain,,,,,,,,,,,,,,,1995,43.6161,-89.7897,Wood,1995-01-01
Dragon Khan,"1,285 m (4,216 ft)",104.6 km/h (65.0 mph),PortAventura Park,Operating,Steel,Bolliger & Mabillard,Sitting Coaster,45.1 m (148 ft),8.0,Chain lift hill,,,,1:45,,4,John Wardley (layout) Ing.-Büro Stengel GmbH (mechanical role),,49.1 m (161 ft),,,,,,,,,,,,,,,,,,,1995,41.0875,1.1608,Steel,1995-05-02
